Index,KnowledgeGraphId,Name,PositiveSegmentCount,TotalSegmentCount
116,/m/0ctrp,Sport utility vehicle,163,234
118,/m/03mr6,Hockey,200,250
120,/m/0dxrf,,96,243
121,/m/025zp2s,Eye shadow,170,244
123,/m/0270h,Dessert,44,169
125,/m/012xhn,Slam dunk,143,246
127,/m/05qdh,Painting,138,245
131,/m/0bh9flk,Tablet computer,184,245
128,/m/04yr41,Drifting (motorsport),141,244
129,/m/0dr19,Rallying,181,244
130,/m/04ndr,Lego,191,243
137,/m/04h5c,Locomotive,161,247
141,/m/010jjr,Amusement park,118,186
143,/m/01lp7f,Motocross,173,246
145,/m/09cjl,Airport,121,241
148,/m/06rrc,Shoe,189,250
152,/m/0ltfs,Bride,168,239
151,/m/01gl72,Skatepark,200,248
156,/m/027x0j,Mascara,70,249
155,/m/015y8h,Jet aircraft,172,240
158,/m/0dv5r,Camera,146,244
160,/m/071k0,Skiing,126,239
164,/m/09x9g,Marching band,187,249
163,/m/0_mjp,Mountain bike,167,244
169,/m/037b2q,Sasuke Uchiha,102,233
170,/m/01yrx,Cat,199,250
172,/m/0cvq3,Pickup truck,131,230
171,/m/021mp2,Sedan (automobile),144,224
173,/m/04scj,Meat,129,235
174,/m/017yh,BMW,112,184
175,/m/063r3,Parade,125,246
176,/m/0fszt,Cake,57,249
178,/m/0149r,Aquarium,191,248
182,/m/06_g7,Surfing,171,245
184,/m/06ht1,Room,178,248
186,/m/09ct_,Helicopter,190,250
188,/m/06ncr,Saxophone,175,239
187,/m/01c648,Laptop,191,246
192,/m/02plp2,Xbox 360,25,240
191,/m/03pty,Hotel,108,208
190,/m/02rc4d,Goku,148,239
194,/m/0167gd,Doll,166,245
197,/m/07ywl,Volkswagen,82,213
196,/m/05nj_s,Exhaust system,123,249
198,/m/01cmcs,Hatchback,130,225
201,/m/09l9f,Carnival,150,231
202,/m/06c7f7,Lipstick,89,248
200,/m/01m3v,Computer,143,244
199,/m/017h86,Action figure,123,162
205,/m/06zdj,School,90,233
204,/m/07656,Sonic the Hedgehog (character),163,245
209,/m/09rvlp4,IPad,86,235
207,/m/0fg019,Eye liner,136,240
206,/m/0d6n1,Ballet,109,234
210,/m/06h7j,Running,119,250
213,/m/01d1dj,Coupé,147,230
214,/m/09rgp,Road bicycle,192,248
220,/m/034v_,Gardening,102,246
218,/m/01bjv,Bus,180,233
217,/m/05rj2,Playing card,177,246
226,/m/07bs0,Tennis,167,245
227,/m/06q74,Ship,153,242
231,/m/09qgm,Snowboarding,158,246
232,/m/019tzd,Mountain biking,165,242
229,/m/0271t,Drink,161,243
233,/m/025t5bz,Rouge (cosmetics),63,243
235,/m/0h5y1j0,,74,205
237,/m/019cfy,Stadium,198,246
244,/m/01fzz2,Pony,140,246
240,/m/0hbfd,Kickflip,126,250
249,/m/01f4cc,Manicure,164,243
246,/m/07c52,Television,141,243
248,/m/0b3yr,Beach,159,247
239,/m/09p5m,Hunting,46,240
250,/m/020vl,Chocolate,105,243
245,/m/0r4_kmc,PlayStation 4,26,238
255,/m/010l12,Roller coaster,160,245
253,/m/09kjlm,Sneakers,193,239
256,/m/027mn6z,Afro-textured hair,161,249
261,/m/0397w,Gymnastics,198,244
259,/m/06fgw,Robot,153,244
263,/m/070kp2,Diatonic button accordion,189,246
262,/m/0g8p9,Farm,178,244
266,/m/052mx,Mercedes-Benz,120,204
267,/m/09xzd,Chevrolet,89,201
268,/m/01d5g,Batman,98,246
269,/m/0cfpc,Loudspeaker,181,249
271,/m/0lwkh,Nike,125,229
276,/m/0bl0l,Garden,128,239
273,/m/071p9,Ski,180,244
277,/m/05y4t,Paint,152,250
274,/m/09kjpq,Underwater diving,121,245
278,/m/01xqw,Cello,185,248
279,/m/0dw7n,Digital camera,174,245
280,/m/0dmq2,Scooter (motorcycle),172,235
288,/m/0mcx2,IPod,79,228
291,/m/07j7r,Tree,175,249
295,/m/0py27,Train station,97,239
294,/m/0vphbfj,Xbox One,54,246
293,/m/01d40f,Dress,161,244
297,/m/03_qm,Jeep,78,194
296,/m/012n4x,Firefighter,167,248
300,/m/0l14j_,Flute,166,245
299,/m/02dkrm,Resort,109,237
303,/m/0f25w9,Chicken as food,64,180
302,/m/02xwb,Fruit,152,248
304,/m/04ctx,Knife,187,248
305,/m/0r4kr10,Dashcam,200,244
313,/m/0cgh4,Building,105,240
307,/m/0d4wf,Kitchen,160,233
311,/m/0b_rs,Swimming pool,180,245
310,/m/0g6b5,Fireworks,184,250
312,/m/06bqd,Rugby football,159,235
316,/m/0h5wtyy,,122,203
318,/m/0jxxt,Horse racing,178,243
321,/m/0fkw3,Flour,96,242
322,/m/02z6z4v,IPod Touch,98,223
331,/m/0t_fv9h,Xbox,37,245
333,/m/0by3w,Jumping,104,250
329,/m/036vg6,Wrestling,167,247
330,/m/07gql,Trumpet,153,246
334,/m/01x9mn,Dough,83,245
343,/m/0gjkl,Watch,188,246
349,/m/02x8rd,PlayStation Portable,88,246
340,/m/08zvcl,Enduro,202,247
344,/m/0k50,Audi,125,209
348,/m/013y1f,Organ (music),173,249
358,/m/0bmjxs9,Nintendo 3DS,89,238
347,/m/01jnzj,Construction,138,248
359,/m/02_41,Fire,108,240
355,/m/01hk87,Braid,118,242
361,/m/0466q6s,BMW Motorrad,60,210
360,/m/06z6r,Human swimming,165,250
364,/m/01nblt,Apartment,120,208
365,/m/0d1t3,Dressage,175,236
368,/m/01f5gx,Eating,39,250
369,/m/048fg,Kickboxing,124,240
366,/m/04njq1,Scuba diving,91,242
370,/m/033cnk,Egg as food,71,249
374,/m/039j4m,Fishing lure,89,249
380,/m/03f6tq,Living room,117,248
373,/m/0qk4n,Ford Mustang,92,231
385,/m/04fdw,Kayak,180,249
384,/m/01k32j,Gohan,139,236
388,/m/09qqq,Wall,201,248
389,/m/01wb7,Church (building),126,228
382,/m/0n5v01m,Bag,184,248
393,/m/05qnqx,Concealer,73,236
381,/m/099md,Soldier,186,246
390,/m/0mz8t,Sewing,81,250
394,/m/02b9x,Drag racing,132,227
399,/m/01xsb3,Classic car,187,240
397,/m/09b5t,Chicken,85,239
396,/m/09b1k,Walt Disney World,72,225
402,/m/01lgkm,Recreational vehicle,110,243
400,/m/0c_jw,Furniture,175,244
398,/m/05zmb,Parachuting,132,240
401,/m/0404d,Jewellery,153,249
405,/m/037b28,Sakura Haruno,140,248
406,/m/06l8d,Restaurant,141,233
410,/m/01b7fy,Headphones,180,248
408,/m/04_bsf,Wheelie,152,239
416,/m/02_58j,Bedroom,108,249
415,/m/01h80k,Muscle car,151,235
419,/m/06cnp,River,182,236
422,/m/047fr,Knitting,184,244
414,/m/014mnd,Circus,157,240
421,/m/01vfsf,Guitar amplifier,198,242
424,/m/03c3vj4,PlayStation,135,245
429,/m/07tf8,University,76,235
418,/m/034wh,Graffiti,168,250
427,/m/0hm03,Trail,188,231
434,/m/0bt_c3,Book,176,247
428,/m/01h6d4,Camping,93,246
435,/m/06vmrv,Lego minifigure,199,248
430,/m/01h5q0,Indian cuisine,88,217
441,/m/015w6q,Barbie,113,241
439,/m/01bjxx,Camera lens,135,249
437,/m/0bs_x,Dodge,118,213
443,/m/0gvrl5w,Go-kart,169,239
440,/m/0d_fj,Hockey puck,182,245
442,/m/01hp05,Thomas the Tank Engine,149,245
445,/m/0cnz5pd,Monster High,175,247
446,/m/08854,Yacht,123,237
448,/m/0f7kfd,Auto Race (Japanese sport),168,243
454,/m/04f20t,Digital single-lens reflex camera,187,244
444,/m/07_lq,Vegetarian cuisine,161,223
453,/m/01bgsw,Toddler,159,242
455,/m/0qffzrl,Xbox (console),84,248
451,/m/07tn5,Unidentified flying object,53,225
452,/m/02nnq5,Longboard (skateboard),201,245
458,/m/019qw9,Convertible,153,226
460,/m/04mtl,Lamborghini,157,213
465,/m/0c1tlg,Quadcopter,127,248
457,/m/01_pxf,Honda Civic,42,224
463,/m/0gv1x,Parrot,180,246
462,/m/01tv9,Cream,90,242
461,/m/01m4t,Printer (computing),129,244
464,/m/0h9mv,Tire,191,244
469,/m/0h5wwjv,,86,177
468,/m/05qc_,Planet,118,240
472,/m/0grw1,Salad,79,242
473,/m/0hsrw,Sailboat,132,237
471,/m/06w58cc,Sony Xperia,156,231
475,/m/0g2bc,Unmanned aerial vehicle,146,245
474,/m/01tq2l,Cruise ship,111,233
477,/m/0983v,Barbecue,134,249
485,/m/0c3ynbd,Stitch (textile arts),159,249
491,/m/06__v,Snowboard,177,243
488,/m/0q56v,Game controller,157,248
482,/m/0h1j7,Paragliding,140,241
490,/m/0db10c,Mud bogging,154,243
496,/m/0zd6,Macintosh,30,243
494,/m/05tfch,Road bicycle racing,158,248
483,/m/09728,Bread,84,249
495,/m/083wq,Wheel,178,245
493,/m/01hzl4,Wig,76,228
507,/m/015zzv,Runway,168,249
501,/m/0cyfs,Parachute,126,244
499,/m/03vt0,Insect,155,243
503,/m/028mzr,Hair coloring,51,249
498,/m/0c5mq,Printing,80,241
514,/m/01j2bj,Bathroom,103,248
504,/m/0h6jq73,IPhone 4S,88,204
502,/m/01xq0k1,Cattle,198,248
506,/m/05vtc,Potato,108,238
508,/m/0h2r6,Van,148,229
511,/m/0838f,Water,143,247
527,/m/01tn_k,Play-Doh,163,240
526,/m/0cmvn,Kinder Surprise,118,244
532,/m/02cp5,Dragon,157,248
513,/m/018wwb,Volkswagen Golf,79,226
519,/m/012v4j,Hiking,87,248
525,/m/012ndj,Fire engine,180,248
518,/m/027g6wt,Santa Claus,123,250
528,/m/0dxlf,Grilling,85,244
522,/m/02r60,Elevator,169,241
523,/m/09xp_,Cricket,167,245
535,/m/05zxk,PlayStation (console),78,243
539,/m/0326g,Flamenco,63,199
540,/m/06wyv,Steam engine,151,233
533,/m/096mb,Lion,148,248
521,/m/03bxt6z,Runway (fashion),190,249
541,/m/0605m,Plough,185,246
547,/m/0jp31,Sail,161,245
550,/m/018j2,Banjo,184,247
544,/m/01x3jk,Snowmobile,186,249
549,/m/0cqvj,Bass (fish),81,234
551,/m/03qjg,Harmonica,153,248
554,/m/0gg4gh4,IPhone 5,112,217
543,/m/01z1m1x,Soup,62,245
548,/m/04p746,Squat (exercise),55,248
557,/m/013s93,T-shirt,152,240
560,/m/0dxn2,Roasting,46,250
552,/m/06bgw,Quartet,153,248
559,/m/09759,Rice,73,245
563,/m/015k42,Renault,110,190
565,/m/07c6l,Trombone,168,244
567,/m/03_163,Barbell,182,240
555,/m/06bt6,Reptile,183,245
576,/m/021mn,Cookie,46,247
568,/m/02gnkg,Ryu (Street Fighter),106,248
564,/m/0663v,Pizza,81,248
573,/m/03hcy1d,,99,191
581,/m/0h9qh,Monster,75,247
580,/m/02dgv,Door,124,242
572,/m/0grqz,Sauce,49,242
571,/m/04h4w,Lake,154,235
584,/m/01m2v,Computer keyboard,146,249
590,/m/0fqq_84,PlayStation Vita,111,241
585,/m/01wy6,Clarinet,189,244
587,/m/01dyf7,Sora (Kingdom Hearts),170,240
588,/m/02522,Computer monitor,124,234
592,/m/02lx2r,Album,75,235
598,/m/01d30f,Teacher,110,221
597,/m/06ypr,Sailor Moon,163,245
599,/m/01bfwv,Mixing console,174,248
603,/m/0cnyhnx,Bull,185,249
600,/m/0309bs,Card manipulation,168,239
604,/m/07pbfj,Fish as food,135,246
605,/m/01nkt,Cheese,59,244
614,/m/03d2wd,Dining room,97,244
602,/m/0137k8,Boeing 737,90,228
610,/m/0h1z6f,Lego Star Wars,192,243
608,/m/0dmpm,Moped,157,245
611,/m/05r1j,Poker,167,249
612,/m/01dv4h,Portrait,186,234
613,/m/0kzwm,Luigi,137,249
617,/m/02_39h,Asus,137,211
620,/m/01yg9g,Lawn mower,152,242
607,/m/015ll,Board game,139,243
624,/m/07j87,Tomato,94,234
627,/m/01s6cj,Lip gloss,72,244
625,/m/01z1kdw,Juice,77,244
631,/m/0158_5,Cockpit,174,247
629,/m/01lr2,Central processing unit,107,239
638,/m/0hg7b,Microphone,123,249
632,/m/03j1ly,Emergency vehicle,176,231
634,/m/01814z,Bodyboarding,162,247
644,/m/0ck7l,Ninja,93,235
641,/m/04bcr3,Table (furniture),166,247
642,/m/03vtj,Ice,175,249
646,/m/01b82r,Saw,143,245
652,/m/0174k2,Washing machine,150,244
647,/m/057ph,Mickey Mouse,118,237
637,/m/0cxn2,Ice cream,80,245
661,/m/0569zg,Beauty salon,179,242
635,/m/02j71,Earth,89,242
658,/m/0bx_y3w,Television set,174,247
648,/m/080hkjn,Handbag,165,249
663,/m/07yjb,Vampire,41,240
668,/m/0by6g,Shark,121,237
664,/m/039r_,Gliding,152,239
656,/m/0hx2x,Dune buggy,178,244
666,/m/09d_r,Mountain,191,248
671,/m/0192l,Bagpipes,180,250
683,/m/02qm2x,Icing (food),101,248
675,/m/018lrm,Arena,153,233
669,/m/0j2kx,Waterfall,148,246
676,/m/0c0bg9c,IPhone 4,103,209
667,/m/06mb1,Rain,117,246
691,/m/02pl1rd,Nissan GT-R,94,220
685,/m/0d38m,Marathon,130,249
673,/m/03qzgq,Rock climbing,170,250
688,/m/01j51,Balloon,190,241
702,/m/03hjsy,Mercedes-AMG,123,224
684,/m/0hn9pm7,Google Nexus,115,228
679,/m/0hr1s_w,Curry,59,247
694,/m/063w2,Pencil,162,244
686,/m/09kx5,Deer,154,249
689,/m/0dgrmp,Goalkeeper (association football),186,247
680,/m/05z55,Pasta,75,248
693,/m/04d__1z,Fishing bait,125,250
703,/m/03l34,Hard disk drive,85,245
697,/m/049d8b,Computer case,157,241
698,/m/03k26d,Stretching,171,250
692,/m/0mfnf,Noodle,109,249
705,/m/03krj,Handball,148,247
706,/m/04r40,Land Rover,82,160
712,/m/01c0z,Battery (electricity),142,246
711,/m/01g8dv,Chevrolet Corvette,99,223
709,/m/01dws,Bear,164,239
710,/m/047vmg8,Rim (wheel),194,250
726,/m/01sfl,Clown,176,250
713,/m/04zpv,Milk,95,236
721,/m/023cbk,Cargo,191,242
720,/m/053wn,Maize,98,236
715,/m/03v0xl,BMW M3,73,218
717,/m/04wv_,Moon,103,228
730,/m/04_x4,Money,133,249
728,/m/03p1r4,Cupcake,91,248
723,/m/01h3n,Bee,134,240
716,/m/05fc9mj,Christmas decoration,188,244
722,/m/03mb156,Headset (audio),186,249
718,/m/0j9k952,Microsoft Lumia,143,232
732,/m/015m2,Bead,159,243
724,/m/0zvk5,Helmet,199,247
736,/m/09tzjm,MacBook,94,237
725,/m/07vwy6,Street art,182,244
742,/m/03mn0k,Jeep Wrangler,105,229
727,/m/07j2f,Tattoo,168,245
735,/m/0409cr_,Optimus Prime,87,244
740,/m/0ft5b,Pachinko,132,220
748,/m/0llzx,Sewing machine,184,250
738,/m/0k_8p,Bowser (character),60,245
746,/m/01wt5r,Water park,121,229
751,/m/01knyw,Silage,189,240
749,/m/01599,Beer,90,232
752,/m/06nwz,Seafood,143,237
754,/m/03m5k,Harp,199,244
760,/m/01bdy,Bowling,188,249
763,/m/01ln6f,Washing,156,247
756,/m/0hf35,Volkswagen Beetle,108,237
758,/m/0jgf9,BlackBerry,145,225
766,/m/01b638,Boot,169,249
764,/m/0k5c3,Mermaid,88,237
757,/m/0h5wp8d,,98,217
780,/m/01v50j,Crane (machine),181,246
767,/m/0dxr0,Stir frying,122,246
769,/m/05z6w,Penguin,163,245
771,/m/024g6,Cocktail,88,216
786,/m/0w_ghcf,IPhone 5S,118,214
785,/m/015z8s,Airbus A320 family,74,203
781,/m/025v24r,Updo,78,243
787,/m/018ktp,Watercolor painting,153,243
778,/m/07zm_g,Tractor pulling,89,245
783,/m/01v327,Lawn,138,249
792,/m/02lvs2,Subaru Impreza,93,212
791,/m/029bxz,Oven,84,249
795,/m/07608d,Carl Johnson (Grand Theft Auto),86,224
788,/m/01dhjg,Ten-pin bowling,181,237
805,/m/04c5wj,Reef aquarium,168,240
802,/m/031sx9,Batting (cricket),128,250
801,/m/01vnb,Comic book,129,248
793,/m/065qh,Porsche 911,92,230
796,/m/0km5c,German Shepherd,178,245
804,/m/02qvql,Mower,192,248
803,/m/07kfm,Tram,146,231
797,/m/09dzg,Turtle,176,245
814,/m/02r_57s,Cake decorating,125,245
813,/m/0cdn1,Hamburger,87,239
789,/m/09ddx,Duck,124,228
808,/m/06wc7ym,Lego City,194,237
818,/m/0d31p,Vacuum cleaner,182,246
816,/m/015j7,Bible,30,188
817,/m/0gm28,Candy,115,244
811,/m/01z9v6,Pitcher,163,235
820,/m/0cj6x,Sowing,115,241
826,/m/0532x8,Digimon,177,230
829,/m/0l515,Sandwich,83,248
824,/m/0242l,Coin,127,249
821,/m/06hyd,Roof,134,243
825,/m/01j61q,Tent,202,250
822,/m/0f_h9h,Donkey Kong,169,248
835,/m/016676,Aerobics,186,248
833,/m/01399x,Pipe organ,139,228
843,/m/0174nj,Gramophone record,188,230
823,/m/0cqpb,Trout,74,233
827,/m/0250x,Costume,118,245
830,/m/02mtys,BMW 3 Series,70,208
832,/m/02_444,Trampoline,182,244
837,/m/020rfd,Supermoto,128,233
852,/m/0m8_b,Boeing 777,115,235
844,/m/03wl_x,Gundam (mobile suit),169,244
841,/m/02m6x0,Mitsubishi Lancer Evolution,93,219
812,/m/0cjyh2,Dance studio,119,244
847,/m/0bzwl,Teenage Mutant Ninja Turtles,155,244
862,/m/06mf6,Rabbit,175,250
869,/m/0hv6w,Logging,181,248
860,/m/0395lw,Bell,197,250
838,/m/0403lcy,Netbook,132,229
870,/m/0hchp,String quartet,143,248
846,/m/07k4r,Tai chi,165,237
858,/m/0280wht,Smartwatch,171,243
854,/m/01gt7,Boeing 747,116,223
880,/m/0ggbcny,IPad 2,99,207
876,/m/02ppnm,Stove,132,244
857,/m/01ft5b,Kindergarten,113,231
859,/m/020lf,Computer mouse,157,245
877,/m/081qc,Wine,126,227
871,/m/015kr,Bridge,169,250
855,/m/03wjyj,Simba,186,247
875,/m/01x3z,Clock,146,249
861,/m/09cmq,Museum,129,239
867,/m/013992,Lathe,148,233
892,/m/0grtl,Steak,152,244
898,/m/02jzr,Easter egg,81,248
888,/m/09w1n,Alpine skiing,151,237
884,/m/04969,Kick,122,250
887,/m/0syjz,Video card,91,244
891,/m/02kyqy,Roadster (automobile),149,225
906,/m/0d10d,Largemouth bass,95,233
900,/m/0zt90qx,Yo-kai Watch,110,240
878,/m/01j_h3,Subaru,121,189
885,/m/01t2ln,Police officer,142,242
883,/m/04dr76w,Bottle,183,250
901,/m/084bl,Wakeboarding,186,245
903,/m/07gyp7,McDonald's,92,247
907,/m/01h7tx,Roller skating,148,249
930,/m/0frq6,Pork,74,190
897,/m/07rgn,Hulk (comics),96,241
914,/m/09tzfp,MacBook Pro,106,238
917,/m/02fbcn,Bartender,182,236
910,/m/0dwsp,Marimba,176,247
905,/m/0362v5,Chopper (motorcycle),154,233
909,/m/032b3c,Jacket,198,247
933,/m/03nwsj,Hair iron,111,246
932,/m/01kr41,Mask,136,249
922,/m/02p8p45,Itachi Uchiha,141,231
913,/m/03n0sf,Afro,184,243
923,/m/028c4_,Hot rod,126,234
931,/m/0fg_n,Shampoo,62,227
911,/m/025nd,Christmas tree,140,245
937,/m/0892cv,Battery charger,166,235
918,/m/06b1q,Quarterback,148,241
955,/m/03p6y5,Nissan Skyline,90,228
915,/m/01j90l,Booster pack,183,239
944,/m/026nrxk,Marriage proposal,59,241
952,/m/01mzpv,Chair,156,249
945,/m/08c7kb,Fingerboard (skateboard),188,250
948,/m/05gk5c,Bowling ball,199,250
946,/m/01gllr,Beehive,152,247
970,/m/04rzd,Mandolin,186,236
974,/m/06f76,Router (computing),68,248
958,/m/02zt3,Kite,122,236
925,/m/01kf53,Freeza,95,244
979,/m/04n7g,Lexus,147,194
942,/m/02x7rh,Muffler,145,246
965,/m/05256q_,Glider (sailplane),191,238
975,/m/05vq_d,Yamaha YZF-R1,73,230
950,/m/05f5g1r,Artificial nails,107,224
982,/m/01j4z9,Chainsaw,161,248
940,/m/0crdwmb,Kawasaki motorcycles,118,214
973,/m/02bl6q,Ash Ketchum,138,249
962,/m/09rvcxw,Rocket,116,239
972,/m/023q2z,Cinema 4D,169,241
957,/m/05hp41,Car wash,165,248
984,/m/02qfx,Embroidery,128,248
983,/m/039b5,Galaxy,102,245
964,/m/084zz,Whale,147,240
1007,/m/04blr,Knot,164,245
971,/m/015zny,Metal detector,129,242
981,/m/03qrc,Hamster,152,247
954,/m/09nyy,Juggling,139,250
993,/m/01d380,Drill,137,248
991,/m/09777,Salmon,68,242
996,/m/026pc7x,Torte,78,241
1005,/m/0hf2p,Mini,107,209
1015,/m/05wn0,Pump,112,243
1009,/m/0jb2l,Thunderstorm,84,247
995,/m/03hfn0,Backpacking (wilderness),71,250
986,/m/02chd9,Brush,175,249
1000,/m/0hcjm,Brake,97,243
985,/m/03wb2z,Suite (hotel),98,220
980,/m/05hhmd,Ollie (skateboarding),172,249
1016,/m/07fbm7,Strawberry,97,239
1011,/m/058hry,Smoothie,63,238
999,/m/02hq_z,Hot Wheels,87,183
1002,/m/07_9_,Volcano,110,244
994,/m/0k1tl,Pen,168,247
1013,/m/020ys5,Condominium,109,247
1010,/m/025t6n0,Video camera,145,248
992,/m/0d4v4,Window,103,246
1008,/m/01h4t2,Tails (character),88,248
1036,/m/01rmm7,Laser lighting display,190,245
1025,/m/021w6f,Tile,165,245
1012,/m/03p66g,Crossover (automobile),138,210
990,/m/02hj4,Dolphin,124,234
1037,/m/01llwg,Necklace,104,248
1040,/m/046d80l,Mini (marque),106,225
1031,/m/0g53cct,Lamborghini Aventador,151,240
1019,/m/07nvf,Tarot,156,206
1052,/m/022pgh,Electric locomotive,150,232
1001,/m/07m2y,Tuba,170,248
1055,/m/0ph39,Canoe,175,248
1032,/m/05zpvls,Carp fishing,63,245
1069,/m/0q593,Dietary supplement,135,234
1058,/m/01nz0z,Bar,172,234
1014,/m/0284w,Desert,197,240
1023,/m/0dccjy,Lightning McQueen,130,249
1030,/m/09xp2,Sailor Moon (character),189,249
1061,/m/025rs2z,Gold,103,228
1035,/m/04qvtq,Police car,171,247
1034,/m/09qck,Banana,121,248
1053,/m/05rd2s,Street racing,68,237
1045,/m/0mjqn,Pie,29,248
1046,/m/060d2,President of the United States,165,247
1067,/m/015l7,Beadwork,163,244
1060,/m/0m95s,Lace,81,250
1049,/m/02pjr4,Blender,195,249
1056,/m/03gzqq,Golf club,201,249
1074,/m/06ngk,Star,134,244
1066,/m/066858v,IPhone 3GS,52,219
1044,/m/029tx,Dinosaur,178,245
1038,/m/0h5xl4x,,115,194
1073,/m/032wfk,Road racing,186,250
1077,/m/09dh0,Seed,56,248
1068,/m/01xs30,Personal water craft,186,245
1057,/m/07bgp,Sheep,157,245
1072,/m/04zlcx,French braid,132,242
1104,/m/02q9ddz,Eyelash extensions,133,240
1083,/m/02jmwz,Honda CBR series,81,207
1089,/m/0h9627p,Ski-Doo,70,167
1087,/m/027qpg5,Ford Focus,71,234
1099,/m/02ll1_,Lock (security device),176,244
1076,/m/078jl,Snake,162,250
1086,/m/03kpnc,Glitter,158,247
1098,/m/068zj,Pig,134,245
1094,/m/0h_cn_1,Samsung Galaxy S III,169,224
1095,/m/0jyfg,Glasses,163,243
1096,/m/09y2k2,Italian cuisine,78,204
1101,/m/02_pk7,Military parade,173,243
1107,/m/01yvs,Coca-Cola,102,245
1105,/m/09l0j_,Ring (jewellery),132,248
1117,/m/0fly7,Jeans,175,246
1093,/m/0xnnv15,Rainbow Loom,146,180
1106,/m/057gn,Minivan,146,215
1122,/m/01k3tq,Bulldog,188,243
1119,/m/01nrwb,Pikachu,152,245
1103,/m/026bm66,Pull-up (exercise),76,245
1128,/m/07l5g,Turbine,95,243
1120,/m/06m_p,Sun,108,233
1126,/m/014j1m,Apple,111,237
1102,/m/0bwd_0j,Elephant,153,245
1115,/m/042ck,Japanese cuisine,78,155
1124,/m/06psh,Škoda Auto,118,188
1123,/m/0lyf_,Greenhouse,138,243
1131,/m/0dq6p,VHS,39,247
1136,/m/07030,Sushi,98,243
1144,/m/03jqf3,Chevrolet Silverado,61,222
1121,/m/0184rb,Pond,130,232
1137,/m/03nzg,Home run,47,230
1132,/m/0cl19h,Ariel (Disney),134,239
1133,/m/06msq,Sculpture,130,248
1157,/m/01tqs1,Biscuit,65,248
1134,/m/01tkqg,Bulldozer,185,245
1143,/m/0pk35,Lightsaber,181,250
1159,/m/05jh_c,Spa,76,239
1164,/m/018rl2,Airbus A380,100,216
1155,/m/080npq6,Ram Trucks,80,188
1142,/m/0768fx,Automotive lighting,190,244
1150,/m/01t46s,Akuma (Street Fighter),58,244
1148,/m/09g1w,Toilet,119,247
1161,/m/02zrvn,Demolition,147,245
1165,/m/01dwwc,Pancake,71,250
1147,/m/06y5r,Sword,178,243
1162,/m/015zbk,Airbus A330,87,213
1152,/m/03ssj5,Bed,143,248
1174,/m/03fwl,Goat,158,242
1160,/m/0gfjk95,Samsung Galaxy S II,154,239
1166,/m/027rsld,Kawasaki Ninja,132,235
1190,/m/0k5mc,Minnie Mouse,126,236
1175,/m/04p0xr,Pool (cue sports),158,249
1167,/m/047ptj,Mitsubishi Lancer,108,213
1156,/m/020t4k,Stuffing,55,246
1180,/m/0r8kzgd,Samsung Galaxy S4,176,243
1171,/m/09g5h,Spacecraft,119,232
1179,/m/06yzz,,93,223
1172,/m/0dwx7,Logo,162,247
1186,/m/05zsy,Pumpkin,135,244
1188,/m/06m11,Rose,166,248
1201,/m/079dl7,Chocolate cake,75,247
1177,/m/07jxly,Majin Boo,113,250
1208,/m/05hmbl,Princess,154,241
1183,/m/08pbxl,Monkey,168,249
1189,/m/023ls,Cola,113,242
